Algoritmo(Tamanho(Run));Mov;Comp;Tempo(ms)
SelectionSort(100)(1);297;4950;0
SelectionSort(100)(2);297;4950;0
SelectionSort(100)(3);297;4950;0
SelectionSort(100)(4);297;4950;0
SelectionSort(100)(5);297;4950;0
SelectionSort(100)(6);297;4950;0
SelectionSort(100)(7);297;4950;0
SelectionSort(100)(8);297;4950;0
SelectionSort(100)(9);297;4950;0
SelectionSort(100)(10);297;4950;0
SelectionSort(100)(11);297;4950;0
SelectionSort(100)(12);297;4950;0
SelectionSort(100)(13);297;4950;0
SelectionSort(100)(14);297;4950;0
SelectionSort(100)(15);297;4950;0
SelectionSort(100)(16);297;4950;0
SelectionSort(100)(17);297;4950;0
SelectionSort(100)(18);297;4950;0
SelectionSort(100)(19);297;4950;0
SelectionSort(100)(20);297;4950;0
SelectionSort(100)(21);297;4950;0
SelectionSort(100)(22);297;4950;0
SelectionSort(100)(23);297;4950;0
SelectionSort(100)(24);297;4950;0
SelectionSort(100)(25);297;4950;0
SelectionSort(100)(26);297;4950;0
SelectionSort(100)(27);297;4950;0
SelectionSort(100)(28);297;4950;0
SelectionSort(100)(29);297;4950;0
SelectionSort(100)(30);297;4950;0
InsertionSort(100)(1);2754;2651;0
InsertionSort(100)(2);2754;2651;0
InsertionSort(100)(3);2754;2651;0
InsertionSort(100)(4);2754;2651;0
InsertionSort(100)(5);2754;2651;0
InsertionSort(100)(6);2754;2651;0
InsertionSort(100)(7);2754;2651;0
InsertionSort(100)(8);2754;2651;0
InsertionSort(100)(9);2754;2651;0
InsertionSort(100)(10);2754;2651;0
InsertionSort(100)(11);2754;2651;0
InsertionSort(100)(12);2754;2651;0
InsertionSort(100)(13);2754;2651;0
InsertionSort(100)(14);2754;2651;0
InsertionSort(100)(15);2754;2651;0
InsertionSort(100)(16);2754;2651;0
InsertionSort(100)(17);2754;2651;0
InsertionSort(100)(18);2754;2651;0
InsertionSort(100)(19);2754;2651;0
InsertionSort(100)(20);2754;2651;0
InsertionSort(100)(21);2754;2651;0
InsertionSort(100)(22);2754;2651;0
InsertionSort(100)(23);2754;2651;0
InsertionSort(100)(24);2754;2651;0
InsertionSort(100)(25);2754;2651;0
InsertionSort(100)(26);2754;2651;0
InsertionSort(100)(27);2754;2651;0
InsertionSort(100)(28);2754;2651;0
InsertionSort(100)(29);2754;2651;0
InsertionSort(100)(30);2754;2651;0
BubbleSort(100)(1);7668;4949;0
BubbleSort(100)(2);7668;4949;0
BubbleSort(100)(3);7668;4949;0
BubbleSort(100)(4);7668;4949;0
BubbleSort(100)(5);7668;4949;0
BubbleSort(100)(6);7668;4949;0
BubbleSort(100)(7);7668;4949;0
BubbleSort(100)(8);7668;4949;0
BubbleSort(100)(9);7668;4949;0
BubbleSort(100)(10);7668;4949;0
BubbleSort(100)(11);7668;4949;0
BubbleSort(100)(12);7668;4949;0
BubbleSort(100)(13);7668;4949;0
BubbleSort(100)(14);7668;4949;0
BubbleSort(100)(15);7668;4949;0
BubbleSort(100)(16);7668;4949;0
BubbleSort(100)(17);7668;4949;0
BubbleSort(100)(18);7668;4949;0
BubbleSort(100)(19);7668;4949;0
BubbleSort(100)(20);7668;4949;0
BubbleSort(100)(21);7668;4949;0
BubbleSort(100)(22);7668;4949;0
BubbleSort(100)(23);7668;4949;0
BubbleSort(100)(24);7668;4949;0
BubbleSort(100)(25);7668;4949;0
BubbleSort(100)(26);7668;4949;0
BubbleSort(100)(27);7668;4949;0
BubbleSort(100)(28);7668;4949;0
BubbleSort(100)(29);7668;4949;0
BubbleSort(100)(30);7668;4949;0
QuickSort(100)(1);531;740;0
QuickSort(100)(2);531;740;0
QuickSort(100)(3);531;740;0
QuickSort(100)(4);531;740;0
QuickSort(100)(5);531;740;0
QuickSort(100)(6);531;740;0
QuickSort(100)(7);531;740;0
QuickSort(100)(8);531;740;0
QuickSort(100)(9);531;740;0
QuickSort(100)(10);531;740;0
QuickSort(100)(11);531;740;0
QuickSort(100)(12);531;740;0
QuickSort(100)(13);531;740;0
QuickSort(100)(14);531;740;0
QuickSort(100)(15);531;740;0
QuickSort(100)(16);531;740;0
QuickSort(100)(17);531;740;0
QuickSort(100)(18);531;740;0
QuickSort(100)(19);531;740;0
QuickSort(100)(20);531;740;0
QuickSort(100)(21);531;740;0
QuickSort(100)(22);531;740;0
QuickSort(100)(23);531;740;0
QuickSort(100)(24);531;740;0
QuickSort(100)(25);531;740;0
QuickSort(100)(26);531;740;0
QuickSort(100)(27);531;740;0
QuickSort(100)(28);531;740;0
QuickSort(100)(29);531;740;0
QuickSort(100)(30);531;740;0
SelectionSort(1000)(1);2997;499500;0
SelectionSort(1000)(2);2997;499500;0
SelectionSort(1000)(3);2997;499500;0
SelectionSort(1000)(4);2997;499500;0
SelectionSort(1000)(5);2997;499500;0
SelectionSort(1000)(6);2997;499500;1
SelectionSort(1000)(7);2997;499500;1
SelectionSort(1000)(8);2997;499500;1
SelectionSort(1000)(9);2997;499500;1
SelectionSort(1000)(10);2997;499500;1
SelectionSort(1000)(11);2997;499500;1
SelectionSort(1000)(12);2997;499500;1
SelectionSort(1000)(13);2997;499500;1
SelectionSort(1000)(14);2997;499500;1
SelectionSort(1000)(15);2997;499500;1
SelectionSort(1000)(16);2997;499500;1
SelectionSort(1000)(17);2997;499500;1
SelectionSort(1000)(18);2997;499500;1
SelectionSort(1000)(19);2997;499500;1
SelectionSort(1000)(20);2997;499500;1
SelectionSort(1000)(21);2997;499500;1
SelectionSort(1000)(22);2997;499500;1
SelectionSort(1000)(23);2997;499500;1
SelectionSort(1000)(24);2997;499500;1
SelectionSort(1000)(25);2997;499500;1
SelectionSort(1000)(26);2997;499500;1
SelectionSort(1000)(27);2997;499500;1
SelectionSort(1000)(28);2997;499500;1
SelectionSort(1000)(29);2997;499500;1
SelectionSort(1000)(30);2997;499500;1
InsertionSort(1000)(1);246371;245366;1
InsertionSort(1000)(2);246371;245366;0
InsertionSort(1000)(3);246371;245366;1
InsertionSort(1000)(4);246371;245366;1
InsertionSort(1000)(5);246371;245366;1
InsertionSort(1000)(6);246371;245366;0
InsertionSort(1000)(7);246371;245366;0
InsertionSort(1000)(8);246371;245366;0
InsertionSort(1000)(9);246371;245366;0
InsertionSort(1000)(10);246371;245366;0
InsertionSort(1000)(11);246371;245366;0
InsertionSort(1000)(12);246371;245366;0
InsertionSort(1000)(13);246371;245366;0
